pest,crop_affected,economic_impact,natural_pesticides,notes
Stem Borer (Scirpophaga incertulas),Rice (Paddy),High,"Neem seed kernel extract (NSKE), Bacillus thuringiensis (Bt), light traps",Major rice pest in Jharkhand reducing yields significantly.
Gundhi Bug (Leptocorisa acuta),Rice,High,"Neem oil spray, cow urine extract, pheromone traps",Damages rice grains during milky stage; significant economic losses.
Termites,"Wheat, Maize, Sugarcane",Medium,"Neem cake in soil, wood ash application, chlorpyrifos alternatives with biocontrol",Cause damage to roots and stems of multiple crops.
Pod Borer (Helicoverpa armigera),"Pulses (Gram, Arhar, Lentil)",High,"NSKE 5%, Helicoverpa NPV (Nuclear Polyhedrosis Virus), neem oil",Key pest of pulses leading to heavy yield loss.
Aphids (Aphis spp.),"Mustard, Vegetables",Medium,"Neem oil 2%, soap solution sprays, predators (ladybird beetles)",Transmit viral diseases and reduce crop vigor.
Fruit Fly (Bactrocera spp.),"Mango, Guava, Cucurbits",High,"Cue-lure traps, neem seed extract sprays, biological parasitoids",Damages fruit crops extensively; major horticultural pest.
Shoot and Fruit Borer (Leucinodes orbonalis),Brinjal (Eggplant),High,"Neem oil 5%, Bacillus thuringiensis sprays, pheromone traps",Most serious pest of brinjal causing severe economic losses.
Leaf Miner (Liriomyza spp.),"Tomato, Beans",Medium,"Neem oil sprays, parasitoid release (Diglyphus isaea), sticky traps",Reduces photosynthesis leading to yield decline.
Red Cotton Bug (Dysdercus cingulatus),Cotton,Medium,"Neem oil sprays, intercropping, biological predators",Feeds on developing bolls reducing cotton quality.
Grasshopper (Hieroglyphus spp.),Cereals and Millets,Medium,"Neem seed extract sprays, hand collection, predators (birds, ducks)",Occasional outbreaks cause defoliation.
